"GEO_ID","B27001_E001","B27001_M001","B27001_E002","B27001_M002","B27001_E003","B27001_M003","B27001_E004","B27001_M004","B27001_E005","B27001_M005","B27001_E006","B27001_M006","B27001_E007","B27001_M007","B27001_E008","B27001_M008","B27001_E009","B27001_M009","B27001_E010","B27001_M010","B27001_E011","B27001_M011","B27001_E012","B27001_M012","B27001_E013","B27001_M013","B27001_E014","B27001_M014","B27001_E015","B27001_M015","B27001_E016","B27001_M016","B27001_E017","B27001_M017","B27001_E018","B27001_M018","B27001_E019","B27001_M019","B27001_E020","B27001_M020","B27001_E021","B27001_M021","B27001_E022","B27001_M022","B27001_E023","B27001_M023","B27001_E024","B27001_M024","B27001_E025","B27001_M025","B27001_E026","B27001_M026","B27001_E027","B27001_M027","B27001_E028","B27001_M028","B27001_E029","B27001_M029","B27001_E030","B27001_M030","B27001_E031","B27001_M031","B27001_E032","B27001_M032","B27001_E033","B27001_M033","B27001_E034","B27001_M034","B27001_E035","B27001_M035","B27001_E036","B27001_M036","B27001_E037","B27001_M037","B27001_E038","B27001_M038","B27001_E039","B27001_M039","B27001_E040","B27001_M040","B27001_E041","B27001_M041","B27001_E042","B27001_M042","B27001_E043","B27001_M043","B27001_E044","B27001_M044","B27001_E045","B27001_M045","B27001_E046","B27001_M046","B27001_E047","B27001_M047","B27001_E048","B27001_M048","B27001_E049","B27001_M049","B27001_E050","B27001_M050","B27001_E051","B27001_M051","B27001_E052","B27001_M052","B27001_E053","B27001_M053","B27001_E054","B27001_M054","B27001_E055","B27001_M055","B27001_E056","B27001_M056","B27001_E057","B27001_M057"
"0500000US06001","1638900","933","813053","930","53534","619","52339","642","1195","316","124594","796","121596","893","2998","429","65492","1072","60218","1244","5274","651","115738","947","106258","1129","9480","799","132387","290","125413","724","6974","718","110543","262","104877","669","5666","578","98913","147","93786","777","5127","754","69180","145","68423","264","757","219","42672","198","42429","247","243","144","825847","520","51129","720","50030","748","1099","297","117831","924","114994","1032","2837","480","65435","1075","61964","1166","3471","501","116783","871","110800","1031","5983","727","128317","151","123831","593","4486","560","108491","134","104042","569","4449","565","100057","120","96586","420","3471","417","78575","165","77469","347","1106","288","59229","218","58811","284","418","150"
"0500000US06003","1616","239","804","129","43","21","43","21","0","14","148","44","148","44","0","14","52","33","45","37","7","19","111","65","104","61","7","14","93","58","91","58","2","4","53","36","53","36","0","14","106","54","95","52","11","14","157","47","157","47","0","14","41","29","41","29","0","14","812","154","29","23","29","23","0","14","142","70","131","70","11","17","109","82","107","82","2","4","71","45","56","42","15","15","102","62","102","62","0","14","58","26","58","26","0","14","158","70","154","70","4","7","107","45","107","45","0","14","36","19","36","19","0","14"
"0500000US06005","37999","86","19295","176","1040","117","1035","116","5","9","2449","186","2225","225","224","175","1042","183","1013","180","29","38","1898","145","1693","174","205","122","2423","171","2317","165","106","57","2545","178","1947","240","598","248","2873","156","2742","188","131","100","2954","111","2926","123","28","44","2071","66","2071","66","0","29","18704","154","997","143","991","142","6","9","2083","198","1973","187","110","107","1064","151","1041","153","23","27","1623","158","1523","171","100","98","2157","129","2116","142","41","58","1760","73","1674","101","86","67","3158","136","2993","148","165","114","3487","116","3482","115","5","7","2375","92","2367","89","8","13"
"0500000US06007","205896","110","102300","167","6822","290","6638","328","184","123","16725","381","16040","466","685","304","14544","390","13045","484","1499","340","12605","299","10848","384","1757","328","12513","175","11204","355","1309","357","10678","159","9822","276","856","218","11295","26","10221","300","1074","302","10723","66","10689","74","34","30","6395","97","6395","97","0","32","103596","174","6138","279","5834","295","304","155","16401","364","15880","417","521","188","14506","377","12874","651","1632","478","11764","275","10839","339","925","231","11996","111","11323","222","673","203","10475","104","9409","253","1066","236","12210","48","11597","245","613","243","11805","91","11772","95","33","35","8301","105","8289","108","12","21"
"0500000US06009","45930","39","22781","226","1228","177","1212","182","16","22","2932","248","2810","278","122","126","1106","172","957","176","149","138","1983","167","1912","173","71","59","2639","180","2429","156","210","150","2703","253","2456","290","247","131","3710","118","3357","234","353","188","3855","88","3828","94","27","37","2625","95","2625","95","0","29","23149","228","1128","143","942","153","186","123","2937","190","2883","193","54","54","1221","225","1195","223","26","36","1817","247","1527","238","290","133","2470","135","2438","138","32","33","2557","131","2313","241","244","184","4066","172","3781","254","285","177","4132","107","4132","107","0","29","2821","155","2821","155","0","29"
"0500000US06011","21764","318","11477","472","995","199","940","177","55","60","2554","193","2381","219","173","80","882","94","714","119","168","92","1304","138","1107","167","197","96","1514","150","1340","174","174","104","1211","93","1119","106","92","61","1322","112","1230","125","92","69","1074","154","1053","159","21","34","621","39","621","39","0","25","10287","369","725","106","708","107","17","22","1959","143","1837","139","122","73","908","92","753","146","155","107","1243","111","1191","115","52","44","1431","72","1183","160","248","139","1204","39","1123","57","81","51","1221","432","1161","455","60","50","971","66","929","84","42","44","625","31","625","31","0","25"
"0500000US06013","1160014","303","569972","287","38304","675","37360","754","944","320","100146","1006","97226","1137","2920","589","45160","821","40721","953","4439","688","64459","617","56899","970","7560","923","81385","158","73947","729","7438","706","78099","172","73868","587","4231","570","74398","117","71204","547","3194","541","53328","158","52792","293","536","220","34693","157","34575","161","118","64","590042","260","37125","830","36682","804","443","164","95028","951","92487","1049","2541","480","44633","695","41461","894","3172","558","64939","595","60597","735","4342","592","83047","65","79081","502","3966","505","79439","77","75384","585","4055","588","76967","82","74090","488","2877","480","61615","121","60909","239","706","203","47249","191","46989","226","260","122"
"0500000US06015","24764","126","12349","213","731","90","686","87","45","42","2350","272","2203","264","147","100","799","164","767","163","32","34","1530","195","1381","192","149","109","1413","128","1236","146","177","92","1367","153","1188","140","179","119","1585","50","1499","77","86","49","1664","79","1654","82","10","20","910","68","910","68","0","25","12415","223","743","66","717","66","26","19","2076","236","1942","262","134","112","685","94","661","108","24","33","1332","165","1236","181","96","58","1563","120","1468","138","95","70","1321","75","1268","90","53","60","1852","72","1766","94","86","64","1723","61","1695","73","28","40","1120","71","1120","71","0","25"
"0500000US06017","191763","69","95446","156","5296","191","5122","228","174","105","14929","278","14392","337","537","180","6325","297","5462","344","863","239","8701","282","8052","373","649","247","11988","160","10985","297","1003","264","11838","145","11278","257","560","217","14767","79","13944","308","823","275","13477","60","13445","71","32","35","8125","81","8125","81","0","32","96317","139","5068","225","4943","222","125","77","14291","345","14008","362","283","133","6250","324","6092","336","158","101","8431","272","7894","308","537","173","11972","112","11322","238","650","204","11733","102","11323","157","410","145","15235","85","14627","207","608","194","14057","98","14029","105","28","34","9280","69","9252","73","28","24"
"0500000US06019","1004601","418","499805","465","44190","686","42899","731","1291","346","107488","831","104458","989","3030","558","49440","732","42089","893","7351","757","66933","756","57197","1136","9736","1004","67244","305","59245","772","7999","717","55333","221","48596","740","6737","759","50766","162","46038","585","4728","585","36624","126","36040","348","584","326","21787","152","21651","201","136","107","504796","323","41789","692","40788","683","1001","291","104169","847","101195","992","2974","523","47154","940","43192","1084","3962","559","66647","732","61312","978","5335","638","66874","126","62722","602","4152","603","55055","62","50950","539","4105","528","52672","92","49754","477","2918","484","40987","147","40411","240","576","202","29449","151","29238","177","211","108"
"0500000US06021","28314","13","14464","84","1264","151","1213","161","51","67","2858","158","2716","183","142","119","1288","130","993","170","295","101","1710","114","1491","131","219","108","1811","65","1519","167","292","173","1513","50","1405","84","108","60","1663","58","1497","84","166","77","1449","108","1419","113","30","18","908","117","908","117","0","25","13850","80","1012","78","940","118","72","89","2861","102","2761","120","100","71","1042","90","912","116","130","75","1623","78","1280","197","343","184","1645","55","1454","122","191","104","1594","69","1546","76","48","50","1624","72","1400","80","224","94","1437","66","1437","66","0","25","1012","62","1012","62","0","25"
"0500000US06023","133650","163","65940","208","3878","173","3844","174","34","26","9898","321","9629","334","269","151","7472","317","6871","343","601","195","8028","294","6886","430","1142","288","8924","183","8165","285","759","215","7843","112","7121","266","722","246","7736","55","7173","234","563","234","7812","69","7796","76","16","26","4349","55","4349","55","0","32","67710","161","3714","319","3602","315","112","100","10165","353","10002","360","163","97","7727","314","7337","388","390","201","7832","286","7130","358","702","247","8744","79","8330","169","414","150","7072","140","6809","163","263","107","8195","49","7872","129","323","117","8849","57","8844","58","5","9","5412","58","5405","59","7","9"
"0500000US06025","173281","273","85905","320","7721","405","7656","417","65","66","19723","536","19293","651","430","297","8229","382","7369","472","860","307","11294","427","9628","571","1666","438","10610","294","9467","401","1143","310","9010","305","7909","427","1101","330","8289","157","7589","309","700","248","6704","116","6622","136","82","69","4325","89","4268","107","57","50","87376","157","7561","401","7425","427","136","123","19014","464","18724","471","290","145","7753","386","7302","496","451","251","10366","382","9855","406","511","217","10543","109","9513","301","1030","288","9468","78","8477","252","991","256","9216","86","8391","253","825","233","7589","102","7546","118","43","43","5866","140","5820","139","46","60"
"0500000US06027","18366","146","9202","193","605","127","557","123","48","52","1475","165","1299","176","176","89","527","108","345","119","182","104","814","81","742","70","72","37","1227","74","1139","84","88","60","1048","28","955","62","93","60","1277","30","1174","76","103","67","1332","57","1323","56","9","9","897","54","897","54","0","21","9164","142","515","106","493","105","22","20","1451","147","1388","152","63","63","478","152","389","134","89","88","956","105","920","116","36","35","1007","83","923","87","84","48","1095","80","955","105","140","109","1305","23","1238","54","67","45","1250","87","1243","77","7","20","1107","98","1107","98","0","21"
"0500000US06029","892577","847","444576","863","39701","726","37896","769","1805","473","100906","847","97045","970","3861","576","44730","941","38476","1119","6254","636","57958","967","49712","1247","8246","763","58640","401","49781","882","8859","844","47489","370","40127","938","7362","838","45215","198","41204","413","4011","449","32212","113","31779","178","433","145","17725","109","17625","123","100","57","448001","241","38590","811","37409","881","1181","329","96319","975","92243","1130","4076","610","42771","993","38479","1049","4292","657","58612","805","53648","885","4964","555","58487","81","52808","539","5679","520","48984","55","44128","565","4856","564","47059","82","43671","409","3388","388","34408","102","33945","182","463","144","22771","119","22608","160","163","85"
