"GEOID","county","period","female_19_44_population","female_19_44_uninsured","uninsured_pct","uninsured_pct_moe90_approx","population_moe90_approx","uninsured_count_moe90_approx"
"06001","Alameda","2020-2024","310535","13940","4.489","0.336","1391.8","1045.5"
"06003","Alpine","2020-2024","282","17","6.028","7.014","112.2","20.9"
"06005","Amador","2020-2024","4844","164","3.386","2.41","253.8","117"
"06007","Butte","2020-2024","38266","3230","8.441","1.482","479.7","568.4"
"06009","Calaveras","2020-2024","5508","348","6.318","2.539","360.4","141.7"
"06011","Colusa","2020-2024","3582","455","12.702","5.016","161.1","180.8"
"06013","Contra Costa","2020-2024","192619","11480","5.96","0.496","917.2","957.5"
"06015","Del Norte","2020-2024","3580","215","6.006","2.675","224.6","96.7"
"06017","El Dorado","2020-2024","26653","1345","5.046","1.07","437.6","285.9"
"06019","Fresno","2020-2024","180675","13449","7.444","0.574","1198","1040.7"
"06021","Glenn","2020-2024","4310","664","15.406","5.182","131.2","224.3"
"06023","Humboldt","2020-2024","24303","1506","6.197","1.444","432","352"
"06025","Imperial","2020-2024","28662","1992","6.95","1.527","553.9","439.4"
"06027","Inyo","2020-2024","2441","209","8.562","4.291","202.5","106.2"
"06029","Kern","2020-2024","159870","14935","9.342","0.624","1280.9","1005"
"06031","Kings","2020-2024","24511","1924","7.85","1.534","506.1","378.1"
"06033","Lake","2020-2024","9346","887","9.491","2.731","240","256.3"
"06035","Lassen","2020-2024","3345","260","7.773","2.985","145.5","100.5"
"06037","Los Angeles","2020-2024","1812813","180646","9.965","0.199","3449.6","3619.2"
"06039","Madera","2020-2024","27759","2693","9.701","1.632","754.5","459"
"06041","Marin","2020-2024","32385","2035","6.284","1.229","471.6","399.2"
"06043","Mariposa","2020-2024","2047","98","4.787","9.974","124.1","204.3"
"06045","Mendocino","2020-2024","12641","1242","9.825","2.511","318.1","318.9"
"06047","Merced","2020-2024","51258","4832","9.427","1.08","619.9","556.7"
"06049","Modoc","2020-2024","1096","162","14.781","9.121","184.5","103.6"
"06051","Mono","2020-2024","2253","75","3.329","3.731","343.2","84.8"
"06053","Monterey","2020-2024","71922","9861","13.711","1.063","728","771.1"
"06055","Napa","2020-2024","20988","1823","8.686","1.878","316.8","395.1"
"06057","Nevada","2020-2024","13238","1259","9.511","2.431","279.1","323"
"06059","Orange","2020-2024","545654","47635","8.73","0.37","1970.2","2023.6"
"06061","Placer","2020-2024","63328","3102","4.898","0.708","540.1","449.2"
"06063","Plumas","2020-2024","2460","173","7.033","6.007","207.2","148.5"
"06065","Riverside","2020-2024","426079","43285","10.159","0.453","1879.1","1937.8"
"06067","Sacramento","2020-2024","289030","18379","6.359","0.416","1445.9","1206"
"06069","San Benito","2020-2024","11357","960","8.453","2.403","261.1","273.8"
"06071","San Bernardino","2020-2024","395381","37151","9.396","0.43","1899.6","1709.4"
"06073","San Diego","2020-2024","587008","45955","7.829","0.31","2301","1825.9"
"06075","San Francisco","2020-2024","168451","5524","3.279","0.36","1146.9","607.7"
"06077","San Joaquin","2020-2024","139615","10740","7.693","0.662","878.9","926.7"
"06079","San Luis Obispo","2020-2024","46465","3634","7.821","1.057","573.8","493.3"
"06081","San Mateo","2020-2024","125831","6304","5.01","0.558","943.9","703.8"
"06083","Santa Barbara","2020-2024","79874","9423","11.797","1.001","841","805.5"
"06085","Santa Clara","2020-2024","339868","16583","4.879","0.304","1465","1034.8"
"06087","Santa Cruz","2020-2024","46148","3333","7.222","1.031","606.6","477.8"
"06089","Shasta","2020-2024","28188","2507","8.894","1.653","382.9","467.1"
"06091","Sierra","2020-2024","253","123","48.617","32.324","113.4","98.6"
"06093","Siskiyou","2020-2024","5507","482","8.752","2.464","227.6","137.1"
"06095","Solano","2020-2024","75054","4281","5.704","0.668","863.8","503.6"
"06097","Sonoma","2020-2024","76526","5462","7.137","0.802","769.5","616.5"
"06099","Stanislaus","2020-2024","96209","6176","6.419","0.744","799.1","717.9"
"06101","Sutter","2020-2024","16338","1217","7.449","1.719","408.6","282.5"
"06103","Tehama","2020-2024","9460","657","6.945","2.254","277","214.1"
"06105","Trinity","2020-2024","2148","214","9.963","7.307","390.6","161.7"
"06107","Tulare","2020-2024","84776","7747","9.138","0.926","816.8","788.2"
"06109","Tuolumne","2020-2024","6824","625","9.159","3.092","200.2","211.8"
"06111","Ventura","2020-2024","137512","13996","10.178","0.713","785.2","983.6"
"06113","Yolo","2020-2024","47752","2473","5.179","0.978","535.1","467.8"
"06115","Yuba","2020-2024","14590","1259","8.629","2.097","354.6","307.5"
