County,PQIDescription,CtyPQIRate,CtyPhyRate,StPQIRate,StPhyRate,CtyMeanLengthStay,StMeanLengthStay,PQIRateComp,PhySupplyRateComp
Alameda,Asthma in Younger Adults (Age 18-39),12.4,357.4,16,351.2,2.3,2.5,Low,High
Alpine,Asthma in Younger Adults (Age 18-39),0.0,0.0,16,351.2,0.0,2.5,Low,Low
Amador,Asthma in Younger Adults (Age 18-39),0.0,403.8,16,351.2,0.0,2.5,Low,High
Butte,Asthma in Younger Adults (Age 18-39),14.3,206.5,16,351.2,1.8,2.5,Low,Low
Calaveras,Asthma in Younger Adults (Age 18-39),31.0,165.5,16,351.2,1.3,2.5,High,Low
Colusa,Asthma in Younger Adults (Age 18-39),15.9,123.8,16,351.2,2.0,2.5,Low,Low
Contra Costa,Asthma in Younger Adults (Age 18-39),10.3,469.2,16,351.2,3.1,2.5,Low,High
Del Norte,Asthma in Younger Adults (Age 18-39),14.2,186.2,16,351.2,1.0,2.5,Low,Low
El Dorado,Asthma in Younger Adults (Age 18-39),20.8,284.6,16,351.2,1.9,2.5,High,Low
Fresno,Asthma in Younger Adults (Age 18-39),28.4,317.7,16,351.2,2.0,2.5,High,Low
Glenn,Asthma in Younger Adults (Age 18-39),0.0,48.3,16,351.2,0.0,2.5,Low,Low
Humboldt,Asthma in Younger Adults (Age 18-39),0.0,279.6,16,351.2,0.0,2.5,Low,Low
Imperial,Asthma in Younger Adults (Age 18-39),10.8,81.9,16,351.2,3.2,2.5,Low,Low
Inyo,Asthma in Younger Adults (Age 18-39),0.0,343.3,16,351.2,0.0,2.5,Low,Low
Kern,Asthma in Younger Adults (Age 18-39),16.2,192.6,16,351.2,3.9,2.5,High,Low
Kings,Asthma in Younger Adults (Age 18-39),18.9,139.8,16,351.2,4.2,2.5,High,Low
Lake,Asthma in Younger Adults (Age 18-39),6.3,158.7,16,351.2,3.0,2.5,Low,Low
Lassen,Asthma in Younger Adults (Age 18-39),10.4,95.5,16,351.2,7.0,2.5,Low,Low
Los Angeles,Asthma in Younger Adults (Age 18-39),18.3,348.3,16,351.2,2.5,2.5,High,Low
Madera,Asthma in Younger Adults (Age 18-39),22.5,109.9,16,351.2,3.5,2.5,High,Low
Marin,Asthma in Younger Adults (Age 18-39),9.4,830.9,16,351.2,2.2,2.5,Low,High
Mariposa,Asthma in Younger Adults (Age 18-39),54.8,160.2,16,351.2,1.5,2.5,High,Low
Mendocino,Asthma in Younger Adults (Age 18-39),4.8,318.5,16,351.2,0.0,2.5,Low,Low
Merced,Asthma in Younger Adults (Age 18-39),15.8,113.3,16,351.2,2.7,2.5,Low,Low
Modoc,Asthma in Younger Adults (Age 18-39),0.0,572.8,16,351.2,0.0,2.5,Low,High
Mono,Asthma in Younger Adults (Age 18-39),25.6,344.5,16,351.2,5.0,2.5,High,Low
Monterey,Asthma in Younger Adults (Age 18-39),24.1,292.1,16,351.2,2.4,2.5,High,Low
Napa,Asthma in Younger Adults (Age 18-39),11.3,415.1,16,351.2,1.8,2.5,Low,High
Nevada,Asthma in Younger Adults (Age 18-39),0.0,451.1,16,351.2,0.0,2.5,Low,High
Orange,Asthma in Younger Adults (Age 18-39),10.2,431.6,16,351.2,2.7,2.5,Low,High
Placer,Asthma in Younger Adults (Age 18-39),14.3,581.8,16,351.2,2.9,2.5,Low,High
Plumas,Asthma in Younger Adults (Age 18-39),26.7,427.4,16,351.2,2.0,2.5,High,High
Riverside,Asthma in Younger Adults (Age 18-39),16.4,245.9,16,351.2,2.5,2.5,High,Low
Sacramento,Asthma in Younger Adults (Age 18-39),24.6,409.4,16,351.2,2.2,2.5,High,High
San Benito,Asthma in Younger Adults (Age 18-39),14.8,59.7,16,351.2,2.0,2.5,Low,Low
San Bernardino,Asthma in Younger Adults (Age 18-39),24.3,262.5,16,351.2,2.5,2.5,High,Low
San Diego,Asthma in Younger Adults (Age 18-39),13.3,373.8,16,351.2,2.3,2.5,Low,High
San Francisco,Asthma in Younger Adults (Age 18-39),17.5,724.8,16,351.2,1.6,2.5,High,High
San Joaquin,Asthma in Younger Adults (Age 18-39),14.9,250.8,16,351.2,2.8,2.5,Low,Low
San Luis Obispo,Asthma in Younger Adults (Age 18-39),7.8,286.0,16,351.2,1.6,2.5,Low,Low
San Mateo,Asthma in Younger Adults (Age 18-39),9.6,400.4,16,351.2,3.0,2.5,Low,High
Santa Barbara,Asthma in Younger Adults (Age 18-39),6.7,294.9,16,351.2,1.4,2.5,Low,Low
Santa Clara,Asthma in Younger Adults (Age 18-39),11.8,438.2,16,351.2,2.7,2.5,Low,High
Santa Cruz,Asthma in Younger Adults (Age 18-39),7.2,370.9,16,351.2,1.8,2.5,Low,High
Shasta,Asthma in Younger Adults (Age 18-39),18.9,401.5,16,351.2,1.2,2.5,High,High
Sierra,Asthma in Younger Adults (Age 18-39),0.0,0.0,16,351.2,0.0,2.5,Low,Low
Siskiyou,Asthma in Younger Adults (Age 18-39),0.0,360.7,16,351.2,0.0,2.5,Low,High
Solano,Asthma in Younger Adults (Age 18-39),17.6,356.6,16,351.2,3.0,2.5,High,High
Sonoma,Asthma in Younger Adults (Age 18-39),12.5,463.2,16,351.2,2.0,2.5,Low,High
Stanislaus,Asthma in Younger Adults (Age 18-39),18.5,262.9,16,351.2,2.4,2.5,High,Low
Sutter,Asthma in Younger Adults (Age 18-39),14.1,231.0,16,351.2,5.5,2.5,Low,Low
Tehama,Asthma in Younger Adults (Age 18-39),6.0,158.5,16,351.2,2.0,2.5,Low,Low
Trinity,Asthma in Younger Adults (Age 18-39),35.3,60.3,16,351.2,6.0,2.5,High,Low
Tulare,Asthma in Younger Adults (Age 18-39),16.2,187.6,16,351.2,2.9,2.5,High,Low
